filename,FoulResCS,FoulResHS,RunStatus,HeatTranRatClean,HeatTranRatDirty,HeatTranRatService,AreaRatioClean,AreaRatioDirty,HtLdTotal,DutyRatio,PresDropCalcSS,PresDropCalcTS,PresDropAlloSS,PresDropAlloTS,DPratioSS,DPratioTS,TempInSS,TempOutSS,TempInTS,TempOutTS,FlRaTotalSS,FlRaTotalTS,VelThruTubesMaxTS,VelCrossFlowMaxSS,RV2BundleEnt,RV2InNoz,RV2ShlEnt,FoulMaxSS,FoulMaxTS,FoulResSS,FoulResTS,LMTD,MTDCorrFactor,ExcessSurfClean,ExcessSurfDirty,TubeNum,TubeOD,TubeID,TubeLng,ShlID,BafNum,BafSpcCC,BafCutPerc,TubePassNum,TubePattern,OverallLength,Area,FilmCoefSS,FilmCoefTS,PresOperInSS,PresOperInTS
8497_var_CS0.000293_HS0.000049.EDR,0.000293,0.000049,OK,291.5828,258.1032,224.139,1.300902,1.151532,4.5,1,0.0006112764,0.03681684,0.2,0.5,0.003056382,0.07363369,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0001136669,0.0009182934,4.9E-05,0.0003958617,35.23991,0.9848579,30.09019,15.1532,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.1968,760.6836,4,25.1
8497_var_CS0.000293_HS0.000098.EDR,0.000293,0.000098,OK,291.6737,254.9492,224.1349,1.301331,1.137481,4.5,1,0.0006112243,0.03681676,0.2,0.5,0.003056121,0.07363351,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0002050062,0.0008281031,9.8E-05,0.0003958617,35.23991,0.9848756,30.13308,13.74807,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.371,760.8672,4,25.1
8497_var_CS0.000293_HS0.000147.EDR,0.000293,0.000147,OK,291.758,251.8664,224.1293,1.301739,1.123755,4.5,1,0.000611175,0.03681667,0.2,0.5,0.003055875,0.07363334,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0002800512,0.0007541602,0.000147,0.0003958617,35.23991,0.9849002,30.17395,12.37545,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.5297,761.0443,4,25.1
8497_var_CS0.000293_HS0.000196.EDR,0.000293,0.000196,OK,291.8573,248.868,224.1262,1.302201,1.110393,4.5,1,0.0006111265,0.03681659,0.2,0.5,0.003055632,0.07363319,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0003428948,0.0006925456,0.000196,0.0003958617,35.23991,0.9849142,30.22008,11.03926,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.7303,761.2186,4,25.1
8497_var_CS0.000293_HS0.000244.EDR,0.000293,0.000244,OK,291.9046,245.9639,224.1136,1.302485,1.097496,4.5,1,0.0006109912,0.03739354,0.2,0.5,0.003054956,0.07478708,55,34.9978,5,12.7386,197.609177,910.4749,11.16475,0.02023189,0.2357146,43.3877,2.855132,0.0003951542,0.0006410918,0.000244,0.0003958617,35.23991,0.9849693,30.2485,9.749622,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.7907,761.3901,4,25.1
8497_var_CS0.000293_HS0.000293.EDR,0.000293,0.000293,OK,291.9707,243.0806,224.1036,1.302838,1.084679,4.5,1,0.0006109202,0.03739354,0.2,0.5,0.003054601,0.07478708,55,34.9978,5,12.7386,197.609177,910.4749,11.16475,0.02023189,0.2357146,43.3877,2.855132,0.0004411706,0.0005960496,0.000293,0.0003958617,35.23991,0.9850132,30.28379,8.467918,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.9035,761.5578,4,25.1
8497_var_CS0.000293_HS0.000342.EDR,0.000293,0.000342,OK,292.1052,240.3103,224.121,1.303337,1.072235,4.5,1,0.0006111619,0.03681405,0.2,0.5,0.00305581,0.0736281,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0004813241,0.000557128,0.000342,0.0003958617,35.23991,0.984937,30.33372,7.223496,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,482.2066,761.7158,4,25.1
8497_var_CS0.000293_HS0.000391.EDR,0.000293,0.000391,OK,292.1792,237.5625,224.1194,1.303677,1.059982,4.5,1,0.0006111566,0.03681393,0.2,0.5,0.003055783,0.07362785,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0005164646,0.0005228863,0.000391,0.0003958617,35.23991,0.984944,30.36768,5.998198,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,482.3444,761.8754,4,25.1
8497_var_CS0.000293_HS0.000440.EDR,0.000293,0.000440,OK,292.2461,234.8721,224.1179,1.303983,1.047985,4.5,1,0.0006111531,0.03681381,0.2,0.5,0.003055765,0.07362762,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0005475447,0.0004926181,0.00044,0.0003958617,35.23991,0.9849504,30.39835,4.798462,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,482.4639,762.0316,4,25.1
8497_var_CS0.000391_HS0.000000.EDR,0.000391,0.000000,OK,291.7293,252.7741,224.1303,1.301606,1.1278,4.5,1,0.0006111895,0.0368167,0.2,0.5,0.003055948,0.0736334,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0,0.001033856,0,0.000528266,35.23991,0.9848962,30.16061,12.78001,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.4726,760.9915,4,25.1
