filename,FoulResCS,FoulResHS,RunStatus,HtLdTotal,DutyRatio,TempOutSS,TempOutTS,TempInSS,TempInTS,HeatTranRatDirty,HeatTranRatClean,AreaRatioDirty,AreaRatioClean,PresDropCalcSS,PresDropCalcTS,DPratioSS,DPratioTS,VelThruTubesMaxTS,VelCrossFlowMaxSS,RV2BundleEnt,RV2InNoz,LMTD,MTDCorrFactor,ExcessSurfDirty,FoulResSS,FoulResTS
8497_var_CS0.000684_HS0.000244.EDR,0.000684,0.000244,OK,4.5,1,34.9978,12.7386,55,5,218.0741,292.6141,0.9730662,1.305671,0.0006111526,0.03681308,0.003055763,0.07362617,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849843,-2.693377,0.000244,0.0009241276
8497_var_CS0.000684_HS0.000293.EDR,0.000684,0.000293,OK,4.5,1,34.9978,12.7386,55,5,215.7933,292.6598,0.9628937,1.305881,0.0006111536,0.03681299,0.003055768,0.07362597,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849889,-3.710633,0.000293,0.0009241276
8497_var_CS0.000684_HS0.000342.EDR,0.000684,0.000342,OK,4.5,,,,,,,,,,,,,,,,,,,,,,
8497_var_CS0.000684_HS0.000391.EDR,0.000684,0.000391,OK,4.5,1,34.9978,12.7386,55,5,211.358,292.7246,0.9431101,1.306179,0.0006111648,0.0368128,0.003055824,0.0736256,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849961,-5.688989,0.000391,0.0009241276
8497_var_CS0.000684_HS0.000440.EDR,0.000684,0.000440,OK,4.5,,,,,,,,,,,,,,,,,,,,,,
8497_var_CS0.000782_HS0.000000.EDR,0.000782,0.000000,OK,4.5,1,34.9978,12.7386,55,5,223.4521,292.5089,0.9970536,1.305188,0.0006111478,0.03681331,0.003055739,0.07362663,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849744,-0.2946398,0,0.001056532
8497_var_CS0.000782_HS0.000049.EDR,0.000782,0.000049,OK,4.5,1,34.9978,12.7386,55,5,221.0584,292.5551,0.9863771,1.3054,0.0006111499,0.03681321,0.00305575,0.07362642,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849789,-1.362289,4.9E-05,0.001056532
8497_var_CS0.000782_HS0.000098.EDR,0.000782,0.000098,OK,4.5,1,34.9978,12.7386,55,5,218.7154,292.6013,0.9759268,1.305612,0.000611152,0.03681311,0.00305576,0.07362622,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849831,-2.407327,9.8E-05,0.001056532
8497_var_CS0.000782_HS0.000147.EDR,0.000782,0.000147,OK,4.5,1,34.9978,12.7386,55,5,216.4214,292.6473,0.965695,1.305823,0.0006111537,0.03681301,0.003055769,0.07362603,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849875,-3.430495,0.000147,0.001056532
8497_var_CS0.000782_HS0.000196.EDR,0.000782,0.000196,OK,4.5,1,34.9978,12.7386,55,5,214.1697,292.6833,0.9556517,1.305989,0.0006111576,0.03681292,0.003055788,0.07362584,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849916,-4.434829,0.000196,0.001056532
8497_var_CS0.000782_HS0.000244.EDR,0.000782,0.000244,OK,4.5,1,34.9978,12.7386,55,5,212.007,292.7149,0.9460049,1.306135,0.0006111631,0.03681283,0.003055816,0.07362565,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849951,-5.399512,0.000244,0.001056532
8497_var_CS0.000782_HS0.000293.EDR,0.000782,0.000293,OK,4.5,1,34.9978,12.7386,55,5,209.844,292.7476,0.9363565,1.306285,0.0006111687,0.03681274,0.003055843,0.07362548,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849985,-6.364346,0.000293,0.001056532
8497_var_CS0.000782_HS0.000342.EDR,0.000782,0.000342,OK,4.5,1,34.9978,12.7386,55,5,207.7249,292.7805,0.9269036,1.306436,0.0006111741,0.03681265,0.003055871,0.07362529,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9850018,-7.309642,0.000342,0.001056532
